Time_indiv,Time_Merge_DC,Time_Merge_Bad
6.52325,12.03003,43.26351
6.73331,234.31041,2376.21917
6.52976,3550.09186,53168.29942
6.89348,,
6.91533,,
6.937,,
7.00924,,
6.94271,,
7.07815,,
7.06256,,
7.43221,,
7.44899,,
7.60916,,
7.69281,,
7.94155,,
7.96548,,
8.05796,,
8.0347,,
8.08384,,
8.09558,,
8.22595,,
8.2582,,
8.3402,,
8.39619,,
8.98642,,
8.99137,,
6.52493,,
6.59886,,
6.74592,,
6.77357,,
6.96092,,
6.9755,,
6.89658,,
6.9469,,
7.0512,,
7.10199,,
7.55166,,
7.56801,,
7.39484,,
7.54035,,
7.92624,,
7.9752,,
8.03076,,
8.03499,,
8.02987,,
8.298,,
8.29701,,
8.08159,,
8.31333,,
8.33305,,
9.10599,,
9.16753,,
6.53589,,
6.51133,,
6.75534,,
6.89604,,
6.92937,,
6.89364,,
6.92806,,
7.04827,,
7.05152,,
7.04966,,
7.4181,,
7.43415,,
7.61426,,
7.6411,,
7.95225,,
7.95617,,
8.04333,,
8.02852,,
8.12643,,
8.1491,,
8.2502,,
8.26724,,
8.30768,,
8.36886,,
8.5903,,
8.66779,,
6.51983,,
6.77381,,
6.61432,,
6.78562,,
7.02277,,
7.01625,,
6.87278,,
7.2065,,
7.04993,,
7.12038,,
7.58604,,
7.59468,,
7.38276,,
7.54732,,
7.94217,,
8.05612,,
7.95801,,
8.13711,,
8.06685,,
8.35671,,
8.30151,,
8.11364,,
8.41162,,
8.33302,,
8.99091,,
9.09726,,
6.52301,,
6.55383,,
6.79481,,
6.82806,,
6.9315,,
6.96191,,
6.89286,,
6.90802,,
7.07303,,
7.0424,,
7.43974,,
7.48097,,
7.60819,,
7.62007,,
7.98241,,
7.99975,,
8.03406,,
8.08593,,
8.1322,,
8.19417,,
8.2893,,
8.28721,,
8.30144,,
8.32334,,
9.05035,,
9.05486,,
6.50542,,
6.57046,,
6.92661,,
6.93068,,
6.776,,
6.8557,,
6.89816,,
6.94715,,
7.02924,,
7.05989,,
7.56915,,
7.6022,,
7.41718,,
7.42234,,
7.98805,,
7.93924,,
7.99553,,
8.0641,,
8.2265,,
8.09759,,
8.3007,,
8.19208,,
8.30796,,
8.36609,,
8.175,,
8.32577,,
6.52729,,
6.54132,,
6.73589,,
6.80326,,
6.87813,,
6.94704,,
6.94708,,
6.97355,,
7.06675,,
7.11615,,
7.41546,,
7.69849,,
7.61968,,
7.59439,,
7.88713,,
7.97495,,
8.07874,,
8.03152,,
8.06932,,
8.1541,,
8.29673,,
8.26915,,
8.36331,,
8.38054,,
8.85425,,
9.04147,,
6.52589,,
6.58818,,
6.81123,,
6.83103,,
6.99872,,
6.9625,,
6.92125,,
6.92833,,
7.05621,,
7.12136,,
7.59977,,
7.83831,,
7.44631,,
7.44261,,
8.10827,,
7.90588,,
8.17047,,
7.94845,,
8.21405,,
8.09229,,
8.08269,,
8.30992,,
8.40447,,
8.59911,,
9.05268,,
9.09394,,
6.52163,,
6.53532,,
6.93307,,
6.8974,,
6.91484,,
6.91155,,
6.96867,,
7.02609,,
7.07683,,
7.10077,,
7.40616,,
7.45966,,
7.63143,,
7.59412,,
7.92226,,
7.92737,,
8.03551,,
8.04778,,
8.13306,,
8.13903,,
8.28051,,
8.31804,,
8.29197,,
8.46834,,
9.02091,,
9.04437,,
6.54677,,
6.51528,,
6.76644,,
6.72939,,
6.97451,,
6.88956,,
6.94262,,
7.0972,,
7.08242,,
7.62299,,
7.87295,,
7.40603,,
7.41574,,
8.03552,,
8.0988,,
8.10831,,
8.29632,,
8.174,,
8.32236,,
8.33168,,
8.3444,,
9.22057,,
9.29139,,
6.51523,,
6.54293,,
6.76301,,
6.80061,,
6.89276,,
7.00045,,
6.91049,,
6.97153,,
7.06968,,
7.07199,,
7.38123,,
7.41057,,
7.56039,,
7.67015,,
7.95216,,
7.95214,,
7.9575,,
8.04109,,
8.0696,,
8.06182,,
8.22175,,
8.19679,,
8.26853,,
8.33644,,
8.29666,,
8.89968,,
8.9174,,
6.59573,,
6.53897,,
6.74643,,
6.78173,,
6.9804,,
6.95553,,
6.88749,,
6.94841,,
7.08031,,
7.05474,,
7.59219,,
7.66604,,
7.44367,,
7.47664,,
8.04044,,
8.18184,,
7.94529,,
7.97075,,
7.98504,,
8.24268,,
8.2336,,
8.34509,,
8.33196,,
8.17417,,
8.22111,,
9.05267,,
9.1147,,
6.50471,,
6.55297,,
6.7553,,
6.80263,,
6.92438,,
6.93196,,
6.88842,,
7.08767,,
7.06715,,
7.06734,,
7.4076,,
7.47006,,
7.53802,,
7.61647,,
7.96818,,
7.95503,,
8.00189,,
8.05847,,
8.11218,,
8.11065,,
8.12416,,
8.35115,,
8.35625,,
8.4101,,
8.54313,,
8.98964,,
9.05563,,
6.5249,,
6.56768,,
6.75524,,
6.8186,,
6.73365,,
6.79847,,
6.90544,,
6.91288,,
7.04531,,
7.08943,,
7.59655,,
7.64282,,
7.48377,,
7.49377,,
8.08069,,
7.98851,,
7.95086,,
7.9987,,
8.16483,,
8.25575,,
8.2002,,
8.17793,,
8.41469,,
8.39154,,
8.53198,,
8.92132,,
8.94996,,
6.51667,,
6.52664,,
6.76737,,
6.76424,,
6.89175,,
6.88892,,
7.06688,,
7.3327,,
7.36905,,
7.42372,,
7.56307,,
7.59735,,
7.84862,,
7.87697,,
7.90125,,
8.15946,,
8.16174,,
8.12288,,
8.17984,,
8.27457,,
8.28886,,
8.33756,,
8.36514,,
6.54927,,
6.53949,,
6.74504,,
6.7927,,
6.90036,,
6.93662,,
7.06018,,
7.06816,,
7.54839,,
7.60737,,
7.43729,,
7.49668,,
7.97827,,
7.9139,,
7.9898,,
8.09594,,
8.17432,,
8.23692,,
8.27089,,
8.0687,,
8.07192,,
8.37782,,
8.38709,,
6.5121,,
6.54365,,
6.73399,,
6.80743,,
6.89276,,
6.91108,,
7.04217,,
7.0662,,
7.41845,,
7.44231,,
7.59654,,
7.82997,,
7.97255,,
7.98083,,
8.02764,,
8.05291,,
8.18989,,
8.15909,,
8.23989,,
8.32335,,
8.3308,,
8.29362,,
8.28619,,
6.64831,,
6.5297,,
6.76709,,
6.76578,,
6.88832,,
6.90288,,
7.08254,,
7.06529,,
7.58015,,
7.61145,,
7.41623,,
7.44641,,
7.80474,,
7.80606,,
8.08146,,
8.14415,,
8.41082,,
8.41572,,
8.26124,,
8.10191,,
8.11898,,
8.49093,,
6.54104,,
6.77599,,
6.83299,,
6.90789,,
6.91228,,
7.10713,,
7.04776,,
7.09011,,
7.3987,,
7.43259,,
7.5982,,
7.60694,,
8.0599,,
8.24405,,
8.12125,,
8.15221,,
8.17692,,
8.23782,,
8.23098,,
6.79167,,
6.7893,,
6.88587,,
6.93885,,
7.06232,,
7.09385,,
7.07827,,
7.0493,,
7.10544,,
7.58325,,
7.30025,,
7.6845,,
8.01668,,
8.10341,,
